"phylum","class","order","family","genus","species","early_interval","late_interval","max_ma","min_ma","midpoint","lng","lat"
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Chaoyangsauridae","Chaoyangsaurus","Chaoyangsaurus youngi","Late Tithonian","Valanginian",150.8,132.9,141.85,123.966698,42.9333
"Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Protarchaeopteryx","Protarchaeopteryx robusta","Late Barremian","Early Aptian",130,122.46,126.23,120.73333,41.799999
"Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Caudipteryx","Caudipteryx zoui","Late Barremian","Early Aptian",130,122.46,126.23,120.73333,41.799999
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Gorgosaurus","Gorgosaurus libratus","Late Campanian","",83.5,70.6,77.05,-111.528732,50.740726
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Gorgosaurus","Gorgosaurus libratus","Late Campanian","",83.5,70.6,77.05,-111.549347,50.737015
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","Centrosaurus apertus","Late Campanian","",83.5,70.6,77.05,-111.528931,50.737297
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Gorgosaurus","Gorgosaurus libratus","Late Campanian","",83.5,70.6,77.05,-111.564636,50.723866
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Gorgosaurus","Gorgosaurus libratus","Late Campanian","",83.5,70.6,77.05,-111.525337,50.740471
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Gorgosaurus","Gorgosaurus libratus","Late Campanian","",83.5,70.6,77.05,-111.601021,50.786999
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Albertosaurus","Albertosaurus sarcophagus","Late Maastrichtian","",70.6,66,68.3,-112.981903,51.8046
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Albertosaurus","Albertosaurus sarcophagus","Early Maastrichtian","",70.6,66,68.3,-112.981903,51.819099
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Albertosaurus","Albertosaurus sarcophagus","Early Maastrichtian","",70.6,66,68.3,-112.818901,51.542702
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Albertosaurus","Albertosaurus sarcophagus","Early Maastrichtian","",70.6,66,68.3,-112.8423,51.469898
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Albertosaurus","Albertosaurus sarcophagus","Early Maastrichtian","",70.6,66,68.3,-112.702202,51.4408
"Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Isisaurus","Isisaurus colberti","Maastrichtian","",72.1,66,69.05,80.366669,21.183332
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Daspletosaurus","Daspletosaurus torosus","Late Campanian","",83.5,70.6,77.05,-110.681999,49.083698
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Daspletosaurus","Daspletosaurus torosus","Middle Campanian","",83.5,70.6,77.05,-111.485008,50.751526
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Albertosaurus","Albertosaurus sarcophagus","Early Maastrichtian","",70.6,66,68.3,-112.934799,51.928299
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Tyrannosaurus","Tyrannosaurus rex","Maastrichtian","",72.1,66,69.05,-113.0289,51.906399
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Tyrannosaurus","Tyrannosaurus rex","Late Maastrichtian","",70.6,66,68.3,-113.23333,51.933334
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Gryposaurus","Gryposaurus notabilis","Late Campanian","",83.5,70.6,77.05,-111.529999,50.77
"Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Amygdalodon","Amygdalodon patagonicus","Pliensbachian","Early Toarcian",190.8,182,186.4,-69.51667,-43.966667
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","Camarasaurus grandis","Kimmeridgian","Tithonian",157.3,145,151.15,-108.699989,39.068802
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","Camarasaurus supremus","Kimmeridgian","",157.3,152.1,154.7,-108.717499,39.111668
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ankylosauridae","Ankylosaurus","Ankylosaurus magniventris","Late Maastrichtian","",70.6,66,68.3,-106.569901,47.637699
"Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Bistahieversor","Bistahieversor sealeyi","Late Campanian","",83.5,70.6,77.05,-107.966393,36.06028
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Pachycephalosaurus","Pachycephalosaurus wyomingensis","Maastrichtian","",72.1,66,69.05,-106.227776,47.695831
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Brachiosauridae","Sonorasaurus","Sonorasaurus thompsoni","Late Albian","Early Cenomanian",105.3,93.5,99.4,-110.418053,31.81139
"Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Mononykus","Mononykus olecranus","Maastrichtian","",72.1,66,69.05,99.599998,43.540001
"Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Tarbosaurus","Tarbosaurus bataar","Maastrichtian","",72.1,66,69.05,99.599998,43.540001
"Chordata","Saurischia","Avetheropoda","Allosauridae","Allosaurus","Allosaurus fragilis","Kimmeridgian","Tithonian",157.3,145,151.15,-106.041,41.893101
"Chordata","Saurischia","Avetheropoda","Allosauridae","Allosaurus","Allosaurus fragilis","Kimmeridgian","Tithonian",157.3,145,151.15,-106.389999,42.035831
"Chordata","Saurischia","Avetheropoda","Allosauridae","Allosaurus","Allosaurus fragilis","Kimmeridgian","Tithonian",157.3,145,151.15,-106.389999,42.035831
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","Camarasaurus grandis","Kimmeridgian","Tithonian",157.3,145,151.15,-106.389999,42.035831
"Chordata","Saurischia","Avetheropoda","Allosauridae","Allosaurus","Allosaurus fragilis","Kimmeridgian","Tithonian",157.3,145,151.15,-106.389999,42.035831
"Chordata","Aves","Strigiformes","Strigidae","Ornimegalonyx","Ornimegalonyx oteroi","Pleistocene","",2.588,0.0117,1.29985,-83.666664,22.583332
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scutellosaurus","Scutellosaurus lawleri","Sinemurian","Pliensbachian",199.3,182.7,191,-111.027779,35.679169
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scutellosaurus","Scutellosaurus lawleri","Sinemurian","Pliensbachian",199.3,182.7,191,-111.073608,35.736668
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Orodromeus","Orodromeus makelai","Campanian","",83.6,72.1,77.85,-112.182777,47.8125
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Maiasaura","Maiasaura peeblesorum","Campanian","",83.6,72.1,77.85,-112.182777,47.8125
"Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Efraasia","Efraasia minor","Norian","",228,208.5,218.25,8.978333,49.023609
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Tethyshadros","Tethyshadros insularis","Early Campanian","Middle Campanian",83.5,70.6,77.05,13.588611,45.77861
"Chordata","Aves","Suliformes","Anhingidae","Anhinga","Anhinga subvolans","Hemingfordian","",20.43,15.97,18.2,-82.599998,29.700001
"Chordata","Aves","Accipitriformes","Accipitridae","Promilio","Promilio floridanus","Hemingfordian","",20.43,15.97,18.2,-82.599998,29.700001
"Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo fluviaticus","Orellan","",33.9,33.3,33.6,-104.866669,40.900002
"Chordata","Aves","Cathartiformes","Cathartidae","Hadrogyps","Hadrogyps aigialeus","Langhian","",15.97,13.82,14.895,-118.5,35.299999
"Chordata","Aves","Apodiformes","NO_FAMILY_SPECIFIED","Primapus","Primapus lacki","Ypresian","",56,47.8,51.9,-0.683333,50.783333
"Chordata","Aves","Apodiformes","NO_FAMILY_SPECIFIED","Primapus","Primapus lacki","Ypresian","",56,47.8,51.9,0.833333,51.400002
"Chordata","Aves","Charadriiformes","Alcidae","Miomancalla","Miomancalla wetmorei","Tortonian","Messinian",11.62,5.333,8.4765,-117.712219,33.561943
"Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ichthyornis","Ichthyornis dispar","Early Coniacian","Early Campanian",89.3,70.6,79.95,-101,39
"Chordata","Aves","Anseriformes","Vegaviidae","Neogaeornis","Neogaeornis wetzeli","Late Maastrichtian","",70.6,66,68.3,-73.116669,-36.716667
