x
Ornithorhynchus anatinus
Zaglossus bruijnii
Tachyglossus aculeatus
Rhynchocyon petersi
Rhynchocyon cirnei
Rhynchocyon udzungwensis
Elephantulus rufescens
Elephantulus brachyrhynchus
Elephantulus intufi
Elephantulus rupestris
Elephantulus edwardii
Elephantulus myurus
Elephantulus rozeti
Petrodromus tetradactylus
Macroscelides micus
Macroscelides flavicaudatus
Macroscelides proboscideus
Microgale grandidieri
Microgale brevicaudata
Limnogale mergulus
Microgale principula
Microgale majori
Microgale longicaudata
Microgale pusilla
Microgale talazaci
Microgale cowani
Geogale aurita
Oryzorictes hova
Hemicentetes semispinosus
Tenrec ecaudatus
Echinops telfairi
Setifer setosus
Potamogale velox
Micropotamogale lamottei
Cryptochloris wintoni
Chrysochloris asiatica
Chrysochloris stuhlmanni
Chrysospalax trevelyani
Calcochloris obtusirostris
Chlorotalpa sclateri
Chlorotalpa duthieae
Amblysomus septentrionalis
Carpitalpa arendsi
Neamblysomus gunningi
Neamblysomus julianae
Amblysomus marleyi
Amblysomus hottentotus
Eremitalpa granti
Hydrodamalis gigas
Dugong dugon
Trichechus manatus
Trichechus inunguis
Trichechus senegalensis
Procavia capensis
Heterohyrax brucei
Dendrohyrax dorsalis
Loxodonta africana
Mammuthus primigenius
Mammuthus columbi
Elephas maximus
Elephas cypriotes
Elephas antiquus
Mammut americanum
Orycteropus afer
Mylodon darwinii
Choloepus didactylus
Choloepus hoffmanni
Nothrotheriops shastensis
Bradypus variegatus
Bradypus tridactylus
Bradypus torquatus
Tamandua tetradactyla
Myrmecophaga tridactyla
Cyclopes didactylus
Zaedyus pichiy
Chaetophractus vellerosus
Chaetophractus villosus
Euphractus sexcinctus
Priodontes maximus
Cabassous unicinctus
Tolypeutes matacus
Chlamyphorus truncatus
Calyptophractus retusus
Dasypus kappleri
Dasypus novemcinctus
Uropsilus investigator
Uropsilus soricipes
Uropsilus gracilis
Uropsilus andersoni
Uropsilus aequodonenia
Parascalops breweri
Scalopus aquaticus
Scapanus townsendii
Scapanus orarius
Scaptonyx fusicaudus
Scapanus latimanus
Scapanulus oweni
Urotrichus talpoides
Dymecodon pilirostris
Desmana moschata
Neurotrichus gibbsii
Galemys pyrenaicus
Condylura cristata
Talpa occidentalis
Talpa europaea
Talpa caeca
Talpa romana
