clade,source,stem_age,rel_time,time_ma,richness
anth,Alroy2010,617,617,0,7138
anth,Alroy2010,617,609.754,7.246,7246
anth,Alroy2010,617,601.03,15.97,12673
anth,Alroy2010,617,593.97,23.03,8485
anth,Alroy2010,617,583.1,33.9,14475
anth,Alroy2010,617,575.8,41.2,9280
anth,Alroy2010,617,569.2,47.8,9548
anth,Alroy2010,617,561,56,11037
anth,Alroy2010,617,551,66,12595
anth,Alroy2010,617,544.9,72.1,12607
anth,Alroy2010,617,533.4,83.6,17627
anth,Alroy2010,617,523.4,93.6,18280
anth,Alroy2010,617,516.5,100.5,24069
anth,Alroy2010,617,504,113,14219
anth,Alroy2010,617,490.7,126.3,10257
anth,Alroy2010,617,483.1,133.9,15150
anth,Alroy2010,617,472,145,10458
anth,Alroy2010,617,464.9,152.1,8425
anth,Alroy2010,617,450.9,166.1,6035
anth,Alroy2010,617,446.7,170.3,6894
anth,Alroy2010,617,434.3,182.7,12381
anth,Alroy2010,617,426.2,190.8,5270
anth,Alroy2010,617,415.7,201.3,5339
anth,Alroy2010,617,388.6,228.4,4004
anth,Alroy2010,617,380,237,5041
anth,Alroy2010,617,364.8,252.2,6496
anth,Alroy2010,617,357.2,259.8,10118
anth,Alroy2010,617,344.7,272.3,18488
anth,Alroy2010,617,318.1,298.9,17217
anth,Alroy2010,617,310,307,8952
anth,Alroy2010,617,293.8,323.2,6330
anth,Alroy2010,617,282,335,5650
anth,Alroy2010,617,270.3,346.7,4273
anth,Alroy2010,617,244.8,372.2,4779
anth,Alroy2010,617,234.3,382.7,11597
anth,Alroy2010,617,223.7,393.3,15358
anth,Alroy2010,617,209.4,407.6,14083
anth,Alroy2010,617,197.8,419.2,11296
anth,Alroy2010,617,183.5,433.5,11040
anth,Alroy2010,617,173.2,443.8,6773
anth,Alroy2010,617,168.04,448.96,5788
anth,Alroy2010,617,158.6,458.4,2133
anth,Alroy2010,617,103,514,1196
art,Alroy2010,529,521.754,7.246,377
art,Alroy2010,529,487.8,41.2,357
art,Alroy2010,529,473,56,735
art,Alroy2010,529,463,66,961
art,Alroy2010,529,456.9,72.1,593
art,Alroy2010,529,445.4,83.6,502
art,Alroy2010,529,435.4,93.6,708
art,Alroy2010,529,428.5,100.5,1287
art,Alroy2010,529,416,113,713
art,Alroy2010,529,402.7,126.3,2446
art,Alroy2010,529,395.1,133.9,1191
art,Alroy2010,529,384,145,573
art,Alroy2010,529,376.9,152.1,1836
art,Alroy2010,529,362.9,166.1,1070
art,Alroy2010,529,358.7,170.3,802
art,Alroy2010,529,346.3,182.7,668
art,Alroy2010,529,338.2,190.8,754
art,Alroy2010,529,327.7,201.3,862
art,Alroy2010,529,300.6,228.4,2879
art,Alroy2010,529,292,237,1419
art,Alroy2010,529,281.9,247.1,749
art,Alroy2010,529,276.8,252.2,5170
art,Alroy2010,529,269.2,259.8,6181
