"phylum","class","order","family","genus","species","early_interval","late_interval","max_ma","min_ma","midpoint","lng","lat"
"Arthropoda","Trilobita","Proetida","Brachymetopidae","Australosutura","Australosutura llanoensis","Ivorian","",353.8,345.3,349.55,-98.980003,31.17
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Carbonocoryphe","Carbonocoryphe planucauda","Ivorian","",353.8,345.3,349.55,-98.980003,31.17
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Thigriffides","Thigriffides roundyi","Ivorian","",353.8,345.3,349.55,-98.980003,31.17
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Pudoproetus","Pudoproetus chappelensis","Ivorian","",353.8,345.3,349.55,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Pudoproetus","Pudoproetus chappelensis","Ivorian","",353.8,345.3,349.55,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Pudoproetus","Pudoproetus chappelensis","Kinderhookian","Osagean",358.9,342.8,350.85,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Thigriffides","Thigriffides roundyi","Kinderhookian","Osagean",358.9,342.8,350.85,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Pudoproetus","Pudoproetus chappelensis","Ivorian","",353.8,345.3,349.55,-98.980003,31.17
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Pudoproetus","Pudoproetus chappelensis","Kinderhookian","Osagean",358.9,342.8,350.85,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Griffithidella","Griffithidella alternata","Kinderhookian","Osagean",358.9,342.8,350.85,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Carbonocoryphe","Carbonocoryphe depressa","Kinderhookian","Osagean",358.9,342.8,350.85,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Carbonocoryphe","Carbonocoryphe planucauda","Kinderhookian","Osagean",358.9,342.8,350.85,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Griffithidella","Griffithidella doris","Kinderhookian","Osagean",358.9,342.8,350.85,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Thigriffides","Thigriffides roundyi","Kinderhookian","Osagean",358.9,342.8,350.85,-98.099998,31
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Pudoproetus","Pudoproetus chappelensis","Kinderhookian","Osagean",358.9,342.8,350.85,-96.678055,34.774445
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Griffithidella","Griffithidella doris","Kinderhookian","Osagean",358.9,342.8,350.85,-96.678055,34.774445
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Griffithidella","Griffithidella alternata","Kinderhookian","Osagean",358.9,342.8,350.85,-96.678055,34.774445
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Carbonocoryphe","Carbonocoryphe planucauda","Kinderhookian","Osagean",358.9,342.8,350.85,-96.678055,34.774445
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Thigriffides","Thigriffides roundyi","Kinderhookian","Osagean",358.9,342.8,350.85,-96.678055,34.774445
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Griffithidella","Griffithidella doris","Kinderhookian","Osagean",358.9,342.8,350.85,-89.246941,37.460278
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Griffithidella","Griffithidella alternata","Kinderhookian","Osagean",358.9,342.8,350.85,-89.246941,37.460278
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Carbonocoryphe","Carbonocoryphe planucauda","Kinderhookian","Osagean",358.9,342.8,350.85,-89.246941,37.460278
"Arthropoda","Trilobita","Proetida","Phillipsiidae","Thigriffides","Thigriffides roundyi","Kinderhookian","Osagean",358.9,342.8,350.85,-89.246941,37.460278
"Arthropoda","Trilobita","Corynexochida","Dorypygidae","Bonnia","Bonnia capito","Dyeran","",516,513,514.5,-73.195831,44.541668
"Arthropoda","Trilobita","Eodiscida","Eodiscidae","Pagetia","Pagetia ellsi","Dyeran","",516,513,514.5,-80.912224,36.851112
"Arthropoda","Trilobita","Ptychopariida","NO_FAMILY_SPECIFIED","Syspacephalus","Syspacephalus cadyi","Delamaran","",513,505,509,-73.212502,44.475834
"Arthropoda","Trilobita","Corynexochida","Dorypygidae","Kootenia","Kootenia boucheri","Delamaran","",513,505,509,-73.212502,44.475834
"Arthropoda","Trilobita","Agnostida","Ptychagnostidae","Ptychagnostus","Ptychagnostus atavus","St Davids","",513,501,507,-111.732224,45.763611
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Elrathia","Elrathia permulta","St Davids","",513,501,507,-116.48333,51.400002
"Arthropoda","Trilobita","Agnostida","Ptychagnostidae","Ptychagnostus","Ptychagnostus punctuosus","Marjumian","",513,498.5,505.75,-73.772499,42.31028
"Arthropoda","Trilobita","Ptychopariida","Menomoniidae","Bolaspidella","Bolaspidella convexa","Marjumian","",513,498.5,505.75,-73.112503,44.783333
"Arthropoda","Trilobita","Ptychopariida","Elviniidae","Dytremacephalus","Dytremacephalus granulosus","Paibian","",501,498.5,499.75,-99.261665,30.635834
"Arthropoda","Trilobita","Asaphida","Dikelocephalidae","Prosaukia","Prosaukia spinula","Sunwaptan","",498.5,485.4,491.95,-73.400002,42.559723
"Arthropoda","Trilobita","Redlichiida","Holmiidae","Montezumaspis","Montezumaspis cometes","Waucoban","",530,513,521.5,-118,36.166668
"Arthropoda","Trilobita","Redlichiida","NO_FAMILY_SPECIFIED","Cirquella","Cirquella nelsoni","Waucoban","",530,513,521.5,-118,36.166668
"Arthropoda","Trilobita","Ptychopariida","Alokistocaridae","Ehmaniella","Ehmaniella quadrans","Delamaran","",513,505,509,-111.689003,40.640999
"Arthropoda","Trilobita","Corynexochida","Dolichometopidae","Glossopleura","Glossopleura producta","Delamaran","",513,505,509,-111.689003,40.640999
"Arthropoda","Trilobita","Olenida","Olenidae","Parabolinella","Parabolinella hecuba","Stairsian","",485.4,478.6,482,-116.263885,39.096668
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Diplapatokephalus","Diplapatokephalus finalis","Stairsian","",485.4,478.6,482,-116.263885,39.096668
"Arthropoda","Trilobita","Proetida","Hystricuridae","Genalaticurus","Genalaticurus genalatus","Stairsian","",485.4,478.6,482,-116.263885,39.096668
"Arthropoda","Trilobita","Olenida","Olenidae","Hypermecaspis","Hypermecaspis kolouros","Stairsian","",485.4,478.6,482,-116.263885,39.096668
"Arthropoda","Trilobita","Agnostida","Agnostidae","Trilobagnostus","Trilobagnostus rudis","Tremadoc","",485.4,477.7,481.55,-103.326111,30.155556
"Arthropoda","Trilobita","Corynexochida","Leiostegiidae","Leiostegium","Leiostegium manitouensis","Demingian","",485.4,478.6,482,-105.591667,47.416668
"Arthropoda","Trilobita","Proetida","Hystricuridae","Psalikilus","Psalikilus paraspinosum","Tulean","",485.4,471.8,478.6,-110.215553,47.15361
"Arthropoda","Trilobita","Corynexochida","Leiostegiidae","Reubenella","Reubenella rex","Tulean","",485.4,471.8,478.6,-110.215553,47.15361
"Arthropoda","Trilobita","Proetida","Hystricuridae","Hystricurus","Hystricurus conicus","Stairsian","",485.4,478.6,482,-73.422501,43.909168
"Arthropoda","Trilobita","Asaphida","Asaphidae","Presbynileus","Presbynileus ibexensis","Tulean","",485.4,471.8,478.6,-116.263885,39.096668
"Arthropoda","Trilobita","Asaphida","Asaphidae","Aulacoparia","Aulacoparia (Aulacoparia) venta","Tulean","",485.4,471.8,478.6,-116.263885,39.096668
"Arthropoda","Trilobita","Asaphida","Asaphidae","Niobe","Niobe quadraticaudata","Rangerian","",471.8,468.1,469.95,-116.847504,39.09222
"Arthropoda","Trilobita","Asaphida","Nileidae","Peraspis","Peraspis erugata","Rangerian","",471.8,468.1,469.95,-116.847504,39.09222
"Arthropoda","Trilobita","Phacopida","Pliomeridae","Ectenonotus","Ectenonotus whittingtoni","Rangerian","",471.8,468.1,469.95,-116.847504,39.09222
"Arthropoda","Trilobita","Proetida","Bathyuridae","Eleutherocentrus","Eleutherocentrus petersoni","Whiterockian","",471.8,457.5,464.65,-110.402222,40.163334
"Arthropoda","Trilobita","Proetida","Bathyuridae","Bathyurellus","Bathyurellus pogonipensis","Whiterockian","",471.8,457.5,464.65,-110.402222,40.163334
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Remopleurides","Remopleurides simulus","Whiterockian","",471.8,457.5,464.65,-116.451111,38.049721
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Robergiella","Robergiella sagittalis","Llandeilo","Caradoc",466,449.5,457.75,-111.5,65
"Arthropoda","Trilobita","Proetida","Bathyuridae","Bathyurus","Bathyurus extans","Blackriveran","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Proetida","Bathyuridae","Bathyurus","Bathyurus extans","Blackriveran","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Proetida","Bathyuridae","Bathyurus","Bathyurus extans","Blackriveran","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Asaphida","Trinucleidae","Cryptolithoides","Cryptolithoides ulrichi","Rocklandian","",460.9,449.5,455.2,-116.847504,39.09222
"Arthropoda","Trilobita","Asaphida","Asaphidae","Homotelus","Homotelus laeviurus","Rocklandian","",460.9,449.5,455.2,-116.847504,39.09222
"Arthropoda","Trilobita","Asaphida","Remopleurididae","Robergia","Robergia major","Rocklandian","",460.9,449.5,455.2,-116.847504,39.09222
"Arthropoda","Trilobita","Phacopida","Calymenidae","Flexicalymene","Flexicalymene (Flexicalymene) senaria","Chatfieldian","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Asaphida","Asaphidae","Isotelus","Isotelus gigas","Chatfieldian","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Phacopida","Calymenidae","Flexicalymene","Flexicalymene (Flexicalymene) senaria","Trentonian","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Asaphida","Asaphidae","Isotelus","Isotelus gigas","Trentonian","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Olenida","Olenidae","Triarthrus","Triarthrus becki","Trentonian","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Olenida","Olenidae","Triarthrus","Triarthrus eatoni","Caradoc","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Asaphida","Trinucleidae","Cryptolithus","Cryptolithus tessellatus","Caradoc","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Proetida","Proetidae","Ogmocnemis","Ogmocnemis beecheri","Caradoc","",460.9,449.5,455.2,-75.456108,43.212776
"Arthropoda","Trilobita","Asaphida","Asaphidae","Anataphrus","Anataphrus martinensis","Caradoc","",460.9,449.5,455.2,-111.5,65
"Arthropoda","Trilobita","Asaphida","Trinucleidae","Cryptolithus","Cryptolithus tessellatus","Edenian","",460.9,449.5,455.2,-84.456947,39.161945
